"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"451",4525,"octopus","336S14","Gender","F","","","","","24","optionColor","0",35315,"1",0,24,54,"2014-05-05 15:35:42",35.315,"0"
"452",4524,"octopus","336S14","Gender","F","","","","","24","shape","0",39278,"1",0,24,54,"2014-05-05 15:35:01",39.278,"0"
"453",4523,"BigRon","336S14","Gender","M","","","","","24","diffColor","0",47115,"1",0,24,54,"2014-05-05 15:34:16",47.115,"1"
"454",4522,"octopus","336S14","Gender","F","","","","","24","diffColor","0",43271,"1",3,24,54,"2014-05-05 15:34:15",43.271,"0"
"455",4521,"qazxcv","336S14","Gender","F","","","","","24","shape","0",56251,"1",0,24,54,"2014-05-05 15:33:54",56.251,"0"
"456",4520,"4668","336S14","Gender","M","","","","","24","diffColor","0",54160,"1",2,24,54,"2014-05-05 15:33:32",54.16,"1"
"457",4519,"BigRon","336S14","Gender","M","","","","","24","optionColor","0",41314,"1",0,24,54,"2014-05-05 15:33:22",41.314,"1"
"458",4518,"octopus","336S14","Gender","F","","","","","24","both","0",31238,"1",0,24,54,"2014-05-05 15:33:20",31.238,"0"
"459",4517,"7","336S14","Gender","F","","","","","24","shape","0",38257,"1",0,24,54,"2014-05-05 15:33:18",38.257,"0"
"460",4516,"24601","336S14","Gender","M","","","","","24","optionColor","0",40413,"1",0,24,54,"2014-05-05 15:33:02",40.413,"1"
"462",4514,"qazxcv","336S14","Gender","F","","","","","24","shape","0",60870,"1",4,24,54,"2014-05-05 15:32:53",60.87,"0"
"463",4513,"qwerty4321","336S14","Gender","M","","","","","24","shape","0",47625,"1",0,24,54,"2014-05-05 15:32:47",47.625,"1"
"464",4512,"519955","336S14","Gender","F","","","","","24","shape","0",52974,"1",2,24,54,"2014-05-05 15:32:45",52.974,"0"
"465",4511,"4668","336S14","Gender","M","","","","","24","optionColor","0",37855,"1",0,24,54,"2014-05-05 15:32:35",37.855,"1"
"466",4510,"BigRon","336S14","Gender","M","","","","","24","both","0",45043,"1",0,24,54,"2014-05-05 15:32:32",45.043,"1"
"467",4509,"24601","336S14","Gender","M","","","","","24","shape","0",50358,"1",3,24,54,"2014-05-05 15:32:16",50.358,"1"
"469",4507,"7","336S14","Gender","F","","","","","24","diffColor","0",42059,"1",0,24,54,"2014-05-05 15:32:00",42.059,"0"
"470",4506,"123456789a","336S14","Gender","F","","","","","24","shape","0",38770,"1",0,24,54,"2014-05-05 15:31:58",38.77,"0"
"471",4505,"qwerty4321","336S14","Gender","M","","","","","24","diffColor","0",50400,"1",0,24,54,"2014-05-05 15:31:53",50.4,"1"
"472",4504,"519955","336S14","Gender","F","","","","","24","optionColor","0",38126,"1",2,24,54,"2014-05-05 15:31:48",38.126,"0"
"473",4503,"4668","336S14","Gender","M","","","","","24","both","0",36887,"1",0,24,54,"2014-05-05 15:31:47",36.887,"1"
"474",4502,"qazxcv","336S14","Gender","F","","","","","24","shape","0",57489,"1",3,24,54,"2014-05-05 15:31:46",57.489,"0"
"475",4501,"chrisgallo","336S14","Gender","M","","","","","24","both","0",32994,"1",0,24,54,"2014-05-05 15:31:37",32.994,"1"
"476",4500,"BigRon","336S14","Gender","M","","","","","24","shape","0",43180,"1",0,24,54,"2014-05-05 15:31:32",43.18,"1"
"477",4499,"24601","336S14","Gender","M","","","","","24","diffColor","0",48701,"1",1,24,54,"2014-05-05 15:31:19",48.701,"1"
"478",4498,"123456789a","336S14","Gender","F","","","","","24","diffColor","0",47890,"1",0,24,54,"2014-05-05 15:31:10",47.89,"0"
"480",4497,"7","336S14","Gender","F","","","","","24","both","0",33764,"1",0,24,54,"2014-05-05 15:31:09",33.764,"0"
"481",4495,"519955","336S14","Gender","F","","","","","24","diffColor","0",44781,"1",0,24,54,"2014-05-05 15:31:01",44.781,"0"
"482",4494,"4668","336S14","Gender","M","","","","","24","shape","0",41687,"1",0,24,54,"2014-05-05 15:31:00",41.687,"1"
"483",4493,"chrisgallo","336S14","Gender","M","","","","","24","optionColor","0",37562,"1",0,24,54,"2014-05-05 15:30:59",37.562,"1"
"484",4492,"qwerty4321","336S14","Gender","M","","","","","24","optionColor","0",42042,"1",0,24,54,"2014-05-05 15:30:56",42.042,"1"
"485",4491,"qazxcv","336S14","Gender","F","","","","","24","shape","0",62776,"1",1,24,54,"2014-05-05 15:30:42",62.776,"0"
"486",4490,"24601","336S14","Gender","M","","","","","24","both","0",36477,"1",0,24,54,"2014-05-05 15:30:26",36.477,"1"
"487",4489,"7","336S14","Gender","F","","","","","24","optionColor","0",28347,"1",0,24,54,"2014-05-05 15:30:22",28.347,"0"
"489",4487,"chrisgallo","336S14","Gender","M","","","","","24","diffColor","0",46322,"1",0,24,54,"2014-05-05 15:30:14",46.322,"1"
"491",4485,"123456789a","336S14","Gender","F","","","","","24","both","0",35978,"1",0,24,54,"2014-05-05 15:30:10",35.978,"0"
"492",4484,"519955","336S14","Gender","F","","","","","24","both","0",36128,"1",0,24,54,"2014-05-05 15:30:04",36.128,"0"
"493",4483,"qwerty4321","336S14","Gender","M","","","","","24","both","0",37802,"1",0,24,54,"2014-05-05 15:30:02",37.802,"1"
"494",4482,"123456789a","336S14","Gender","F","","","","","24","optionColor","0",36354,"1",0,24,54,"2014-05-05 15:29:20",36.354,"0"
"495",4481,"chrisgallo","336S14","Gender","M","","","","","24","shape","0",36059,"1",0,24,54,"2014-05-05 15:29:11",36.059,"1"
