"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"18",32927,"86192","MA376C1","Gender","M","","","","","21","diffColor","0",48053,"1",0,21,54,"2016-09-15 10:22:39",48.053,"1"
"19",32926,"x86175","MA376C1","Gender","M","","","","","21","shape","0",40891,"1",0,21,54,"2016-09-15 10:22:31",40.891,"1"
"20",32925,"x81518","MA376C1","Gender","M","","","","","21","diffColor","0",47339,"1",0,21,54,"2016-09-15 10:22:29",47.339,"1"
"21",32924,"inst
x85892","MA376C1","Gender","M","","","","","21","diffColor","0",34862,"1",1,21,54,"2016-09-15 10:22:15",34.862,"1"
"22",32923,"inst
x86317","MA376C1","Gender","F","","","","","21","shape","0",35191,"1",0,21,54,"2016-09-15 10:21:01",35.191,"0"
"24",32920,"x85821","MA376C1","GENDER","F","","","","","21","diffColor","0",51561,"1",3,21,54,"2016-09-15 10:20:10",51.561,"0"
"25",32918,"x86617","MA376C1","Gender","F","","","","","21","shape","0",43910,"1",3,21,54,"2016-09-15 10:20:03",43.91,"0"
"26",32917,"x85659","MA376C1","GENDER","M","","","","","21","shape","0",56014,"1",0,21,54,"2016-09-15 10:20:02",56.014,"1"
"27",32916,"x87006","MA376C1","Gender","M","","","","","21","diffColor","0",62722,"1",0,21,54,"2016-09-15 10:19:56",62.722,"1"
"28",32915,"inst","MA376C1","Gender","M","","","","","21","shape","0",34759,"1",0,21,54,"2016-09-15 10:19:43",34.759,"1"
"29",32914,"x85267","MA376C1","Gender","Male","","","","","24","diffColor","0",59826,"1",2,24,54,"2016-09-15 10:19:05",59.826,"1"
"30",32912,"x86324","MA376C1","Gender","F","","","","","21","shape","0",64356,"1",0,21,54,"2016-09-15 10:18:47",64.356,"0"
