"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"1",33015,"x87018","MA376I3","Gender","M","","","","","21","diffColor","0",47975,"1",0,21,54,"2016-09-16 10:28:43",47.975,"1"
"2",33014,"x87018","MA376I3","Gender","M","","","","","21","shape","0",44551,"1",0,21,54,"2016-09-16 10:27:51",44.551,"1"
"4",33009,"x86176","MA376I3","Gender","M","","","","","24","diffColor","0",65131,"1",2,24,54,"2016-09-16 10:27:03",65.131,"1"
"5",33008,"X85856","MA376I3","Male","","","","","","21","diffColor","0",52762,"1",0,21,54,"2016-09-16 10:27:02",52.762,"1"
"8",32999,"X85856","MA376I3","Male","","","","","","21","shape","0",52070,"1",0,21,54,"2016-09-16 10:25:57",52.07,"1"
"9",32998,"XXXXX","MA376I3","Gender","F","","","","","21","diffColor","0",50002,"1",1,21,54,"2016-09-16 10:25:56",50.002,"0"
"10",32996,"xxxxx","MA376I3","Gender","M","","","","","21","diffColor","0",49031,"1",2,21,54,"2016-09-16 10:25:39",49.031,"1"
"11",32992,"x86176","MA376I3","Gender","M","","","","","24","shape","0",47362,"1",0,24,54,"2016-09-16 10:25:22",47.362,"1"
"13",32986,"XXXXX","MA376I3","Gender","F","","","","","21","shape","0",52121,"1",0,21,54,"2016-09-16 10:24:40",52.121,"0"
"14",32987,"xxxxx","MA376I3","Gender","M","","","","","21","shape","0",46966,"1",2,21,54,"2016-09-16 10:24:40",46.966,"1"
"15",32979,"xxxxx","MA376I3","Gender","M","","","","","21","diffColor","0",43218,"1",0,21,54,"2016-09-16 09:06:29",43.218,"1"
"16",32978,"xxxxx","MA376I3","Gender","M","","","","","21","shape","0",40688,"1",1,21,54,"2016-09-16 09:05:23",40.688,"1"
