"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"70",14907,"tron5552","MAED550","sex","f","","","","","24","shape","0",42187,"1",2,24,54,"2015-08-24 17:30:02",42.187,"0"
"71",14906,"7580","MAED550","sex","f","","","","","24","shape","0",39059,"1",0,24,54,"2015-08-24 17:29:42",39.059,"0"
"73",14905,"MMATUSZAK","MAED550","SEX","F","","","","","24","shape","0",45698,"1",3,24,54,"2015-08-24 17:29:39",45.698,"0"
"74",14903,"MAED550
Collene","MAED550","sex","f","","","","","24","shape","0",42674,"1",0,24,54,"2015-08-24 17:29:35",42.674,"0"
"75",14902,"52
wca","MAED550","sex","m","","","","","24","shape","0",36066,"1",0,24,54,"2015-08-24 17:29:32",36.066,"1"
"76",14900,"czer5675","MAED550","sex","f","","","","","24","shape","0",34499,"1",0,24,54,"2015-08-24 17:29:30",34.499,"0"
"77",14901,"Steve","MAED550","Sex","M","","","","","24","shape","0",41275,"1",4,24,54,"2015-08-24 17:29:30",41.275,"1"
"78",14899,"DYLAN","MAED550","SEX","M","","","","","24","shape","0",38186,"1",2,24,54,"2015-08-24 17:29:29",38.186,"1"
"79",14898,"Ellie","MAED550","sex","f","","","","","24","shape","0",37022,"1",0,24,54,"2015-08-24 17:29:28",37.022,"0"
"80",14897,"Shelby","MAED550","sex","f","","","","","24","shape","0",44470,"1",0,24,54,"2015-08-24 17:29:09",44.47,"0"
"81",14896,"Madison","MAED550","sex","f","","","","","24","shape","0",40563,"1",0,24,54,"2015-08-24 17:28:56",40.563,"0"
"82",14895,"DYLAN","MAED550","SEX","M","","","","","24","both","0",31315,"0",0,24,54,"2015-08-24 17:21:23",31.315,"1"
"83",14894,"Collene","MAED550","sex","f","","","","","24","both","0",42400,"0",0,24,54,"2015-08-24 17:21:20",42.4,"0"
"85",14891,"52
wca","MAED550","sex","m","","","","","24","both","0",37175,"0",0,24,54,"2015-08-24 17:21:01",37.175,"1"
"86",14892,"Shelby","MAED550","sex","f","","","","","24","both","0",44599,"0",0,24,54,"2015-08-24 17:21:01",44.599,"0"
"87",14889,"MMATUSZAK","MAED550","SEX","F","","","","","24","both","0",34698,"1",0,24,54,"2015-08-24 17:21:00",34.698,"0"
"88",14890,"Steve","MAED550","Sex","M","","","","","24","both","0",31145,"0",1,24,54,"2015-08-24 17:21:00",31.145,"1"
"89",14888,"Ellie","MAED550","sex","f","","","","","24","both","0",33378,"0",0,24,54,"2015-08-24 17:20:59",33.378,"0"
"90",14887,"czer5675","MAED550","sex","f","","","","","24","both","0",34935,"0",0,24,54,"2015-08-24 17:20:58",34.935,"0"
"91",14885,"7580","MAED550","Sex","f","","","","","24","both","0",33191,"0",0,24,54,"2015-08-24 17:20:55",33.191,"0"
"92",14886,"tron5552","MAED550","sex","f","","","","","24","both","0",30791,"0",0,24,54,"2015-08-24 17:20:55",30.791,"0"
"93",14884,"Madison","MAED550","sex","f","","","","","24","both","0",29280,"1",0,24,54,"2015-08-24 17:20:51",29.28,"0"
"95",14882,"Dylan","MAED550","Sex","M","","","","","24","optionColor","0",47827,"0",8,24,54,"2015-08-24 17:18:49",47.827,"1"
"96",14881,"Madison","MAED550","sex","f","","","","","24","optionColor","0",33424,"1",1,24,54,"2015-08-24 17:18:46",33.424,"0"
"97",14880,"MMATUSZAK","MAED550","SEX","F","","","","","24","optionColor","0",37378,"1",0,24,54,"2015-08-24 17:18:41",37.378,"0"
"99",14879,"czer5675","MAED550","sex","f","","","","","24","optionColor","0",42192,"0",1,24,54,"2015-08-24 17:18:38",42.192,"0"
"100",14877,"tron5552","MAED550","sex","f","","","","","24","optionColor","0",46215,"0",3,24,54,"2015-08-24 17:18:35",46.215,"0"
"101",14876,"Steve","MAED550","Sex","M","","","","","24","optionColor","0",32647,"0",1,24,54,"2015-08-24 17:18:32",32.647,"1"
"102",14875,"Shelby","MAED550","sex","f","","","","","24","optionColor","0",39719,"0",0,24,54,"2015-08-24 17:18:30",39.719,"0"
"103",14874,"Ellie","MAED550","sex","f","","","","","24","optionColor","0",34042,"0",0,24,54,"2015-08-24 17:18:29",34.042,"0"
"104",14873,"52
wca","MAED550","sex","m","","","","","24","optionColor","0",40455,"0",4,24,54,"2015-08-24 17:18:27",40.455,"1"
"105",14872,"7580","MAED550","Sex","f","","","","","24","optionColor","0",36123,"0",0,24,54,"2015-08-24 17:18:23",36.123,"0"
"107",14870,"MMATUSZAK","MAED550","SEX","F","","","","","24","shape","0",52491,"0",2,24,54,"2015-08-24 17:12:25",52.491,"0"
"108",14869,"Collene","MAED550","sex","f","","","","","24","shape","0",47705,"0",2,24,54,"2015-08-24 17:12:22",47.705,"0"
"109",14868,"Shelby","MAED550","sex","f","","","","","24","shape","0",44692,"0",1,24,54,"2015-08-24 17:12:20",44.692,"0"
"110",14867,"7580","MAED550","Sex","f","","","","","24","shape","0",42803,"0",0,24,54,"2015-08-24 17:12:17",42.803,"0"
"111",14866,"czer5675","MAED550","sex","f","","","","","24","shape","0",41203,"0",1,24,54,"2015-08-24 17:12:16",41.203,"0"
"112",14863,"Dylan","MAED550","Sex","m","","","","","24","shape","0",38525,"0",1,24,54,"2015-08-24 17:12:15",38.525,"1"
"113",14864,"Ellie","MAED550","sex","f","","","","","24","shape","0",42020,"0",0,24,54,"2015-08-24 17:12:15",42.02,"0"
"114",14865,"Madison","MAED550","sex","f","","","","","24","shape","0",40265,"0",2,24,54,"2015-08-24 17:12:15",40.265,"0"
"115",14862,"tron5552","MAED550","sex","f","","","","","24","shape","0",41068,"0",1,24,54,"2015-08-24 17:12:14",41.068,"0"
"116",14861,"52
wca","MAED550","sex","m","","","","","24","shape","0",37676,"0",1,24,54,"2015-08-24 17:12:13",37.676,"1"
"117",14860,"Steve","MAED550","Sex","M","","","","","24","shape","0",34931,"0",0,24,54,"2015-08-24 17:12:08",34.931,"1"
