"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"488",4488,"BigRon","MAT336S14","Gender","M","","","","","24","diffColor","0",47602,"1",0,24,54,"2014-05-05 15:30:18",47.602,"1"
"496",4480,"May5th","MAT336S14","Gender","M","","","","","24","shape","0",50088,"1",2,24,54,"2014-05-05 15:28:00",50.088,"1"
"498",4478,"octopus","MAT336S14","Gender","F","","","","","24","both","0",37919,"1",1,24,54,"2014-05-05 15:26:14",37.919,"0"
"499",4477,"IamnotAmy
ImnotChris","MAT336S14","Gender","M","","","","","24","both","0",37342,"1",0,24,54,"2014-05-05 15:26:07",37.342,"1"
"500",4476,"maomao","MAT336S14","Gender","F","","","","","24","shape","0",51445,"1",1,24,54,"2014-05-05 15:25:55",51.445,"0"
"501",4475,"pslough","MAT336S14","Gender","M","","","","","24","both","0",36514,"1",0,24,54,"2014-05-05 15:25:34",36.514,"1"
"502",4474,"octopus","MAT336S14","Gender","F","","","","","24","optionColor","0",33327,"1",1,24,54,"2014-05-05 15:25:28",33.327,"0"
"504",4472,"IamnotAmy
ImnotChris","MAT336S14","Gender","M","","","","","24","shape","0",59068,"1",9,24,54,"2014-05-05 15:25:23",59.068,"1"
"505",4471,"maomao","MAT336S14","Gender","F","","","","","24","shape","0",42961,"1",0,24,54,"2014-05-05 15:25:01",42.961,"0"
"506",4470,"pslough","MAT336S14","Gender","M","","","","","24","optionColor","0",39763,"1",0,24,54,"2014-05-05 15:24:53",39.763,"1"
"507",4469,"octopus","MAT336S14","Gender","F","","","","","24","diffColor","0",42423,"1",0,24,54,"2014-05-05 15:24:49",42.423,"0"
"508",4468,"4668","MAT336S14","Gender","M","","","","","24","shape","0",54947,"1",0,24,54,"2014-05-05 15:24:31",54.947,"1"
"509",4467,"felix","MAT336S14","Gender","M","","","","","24","optionColor","0",48401,"1",5,24,54,"2014-05-05 15:24:25",48.401,"1"
"510",4466,"maomao","MAT336S14","Gender","F","","","","","24","shape","0",53242,"1",3,24,54,"2014-05-05 15:24:16",53.242,"0"
"511",4465,"pslough","MAT336S14","Gender","M","","","","","24","diffColor","0",42640,"1",0,24,54,"2014-05-05 15:24:07",42.64,"1"
"512",4464,"7","MAT336S14","Gender","F","","","","","24","optionColor","0",32952,"1",0,24,54,"2014-05-05 15:24:06",32.952,"0"
"514",4461,"qwerty1234","MAT336S14","Gender","M","","","","","15","optionColor","0",34569,"1",0,15,3,"2014-05-05 15:23:47",34.569,"1"
"515",4460,"IamnotAmy
ImnotChris","MAT336S14","Gender","M","","","","","24","diffColor","0",48330,"1",0,24,54,"2014-05-05 15:23:37",48.33,"1"
"516",4459,"octopus","MAT336S14","Gender","F","","","","","24","shape","0",53014,"1",4,24,54,"2014-05-05 15:23:35",53.014,"0"
