"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"121",14509,"Ruth","USCOTS15","Gender","F","Major","Math","","","24","diffColor","0",69419,"1",0,24,54,"2015-05-30 12:15:37",69.419,"0"
"122",14508,"teacher2","USCOTS15","Gender","F","Major","MAthSTat","","","24","diffColor","0",62175,"1",2,24,54,"2015-05-30 12:15:34",62.175,"0"
"124",14502,"affiliate","USCOTS15","Gender","M","Major","Math","","","24","diffColor","0",66286,"1",2,24,54,"2015-05-30 12:14:18",66.286,"1"
"125",14496,"student","USCOTS15","GENDER","M","MAJOR","math","","","15","diffColor","0",47335,"1",0,15,54,"2015-05-30 12:14:02",47.335,"1"
"127",14458,"Gene","USCOTS15","Gender","Male","Major","Math","","","15","both","0",50483,"1",0,15,54,"2015-05-30 12:13:17",50.483,"1"
"128",14457,"Zaria","USCOTS15","Gender","M","Major","Math","","","15","shape","0",63122,"1",0,15,54,"2015-05-30 12:13:10",63.122,"1"
"129",14455,"student","USCOTS15","GENDER","M","MAJOR","math","","","15","shape","0",54763,"1",0,15,54,"2015-05-30 12:12:57",54.763,"1"
"130",14454,"millsm","USCOTS15","Gender","M","Major","Math","","","15","both","0",53149,"1",0,15,54,"2015-05-30 12:12:48",53.149,"1"
"131",14453,"RAA","USCOTS15","Gender","F","Major","Stats","","","15","shape","0",41498,"1",0,15,54,"2015-05-30 12:12:47",41.498,"0"
"132",14452,"abq","USCOTS15","Gender","M","Major","math","","","15","diffColor","0",39474,"1",2,15,54,"2015-05-30 12:12:45",39.474,"1"
"133",14450,"batman","USCOTS15","Gender","Female","Major","Spanish","","","15","both","0",23106,"1",0,15,54,"2015-05-30 12:12:44",23.106,"0"
"135",14449,"fractal","USCOTS15","Gender","F","Major","Math","","","24","shape","0",60111,"1",1,24,54,"2015-05-30 12:12:40",60.111,"0"
"136",14448,"teacher2","USCOTS15","Gender","F","Major","MathStat","","","15","both","0",29225,"1",0,15,54,"2015-05-30 12:12:35",29.225,"0"
"137",14444,"rsha","USCOTS15","Gender","F","Major","physics","","","15","both","0",30139,"1",0,15,54,"2015-05-30 12:12:34",30.139,"0"
"138",14445,"Amy","USCOTS15","Gender","F","Major","Math","","","15","both","0",38935,"1",0,15,54,"2015-05-30 12:12:34",38.935,"0"
"139",14446,"teacherch","USCOTS15","Gender","F","Major","MathEd","","","15","both","0",32860,"1",0,15,54,"2015-05-30 12:12:34",32.86,"0"
"140",14447,"Teacher","USCOTS15","Gender","F","Major","STAT","","","15","both","0",37076,"1",0,15,54,"2015-05-30 12:12:34",37.076,"0"
"141",14442,"carol","USCOTS15","Gender","F","Major","math","","","15","both","0",36915,"1",0,15,54,"2015-05-30 12:12:33",36.915,"0"
"142",14443,"mcluvin","USCOTS15","Gender","Male","Major","Math","","","15","both","0",35693,"1",1,15,54,"2015-05-30 12:12:33",35.693,"1"
"144",14439,"zowie","USCOTS15","gender","f","major","math","","","15","both","0",36280,"1",0,15,54,"2015-05-30 12:12:30",36.28,"0"
"145",14437,"me","USCOTS15","Gender","F","","","","","15","both","0",33767,"1",0,15,54,"2015-05-30 12:12:29",33.767,"0"
"146",14438,"Student321","USCOTS15","Gender","M","Major","Engineering","","","15","both","0",28158,"1",0,15,54,"2015-05-30 12:12:29",28.158,"1"
"147",14436,"Ruth","USCOTS15","Gender","F","Major","Math","","","15","both","0",23996,"1",0,15,54,"2015-05-30 12:12:27",23.996,"0"
"148",14435,"Coloradoan","USCOTS15","Gender","M","Major","Econ","","","15","both","0",37747,"1",0,15,54,"2015-05-30 12:12:26",37.747,"1"
"149",14432,"JustMe","USCOTS15","Gender","Female","Major","Economics","","","15","both","0",25674,"1",0,15,54,"2015-05-30 12:12:25",25.674,"0"
"150",14433,"teacherMAN","USCOTS15","Gender","M","Major","Marketin","","","15","both","0",23373,"1",0,15,54,"2015-05-30 12:12:25",23.373,"1"
"151",14434,"lisa","USCOTS15","Gender","F","Major","CPMA","","","15","both","0",29451,"1",0,15,54,"2015-05-30 12:12:25",29.451,"0"
"152",14429,"bjs","USCOTS15","Gender","M","Major","IE","","","15","both","0",20389,"1",0,15,54,"2015-05-30 12:12:24",20.389,"1"
"154",14431,"DustinROX","USCOTS15","Gender","M","Major","Stats","","","15","both","0",20488,"1",0,15,54,"2015-05-30 12:12:24",20.488,"1"
"155",14428,"Nellie","USCOTS15","Gender","f","major","math","","","15","both","0",26790,"1",0,15,54,"2015-05-30 12:12:23",26.79,"0"
"156",14426,"teacher","USCOTS15","Gender","F","Major","MAth","","","15","both","0",27996,"1",0,15,54,"2015-05-30 12:12:22",27.996,"0"
"157",14427,"ISUgrads","USCOTS15","Gender","M","Major","math","","","15","both","0",24071,"1",0,15,54,"2015-05-30 12:12:22",24.071,"1"
"158",14424,"teddy
4toSCup","USCOTS15","Gender","Male","Major","Economics","","","15","both","0",24963,"1",0,15,54,"2015-05-30 12:12:21",24.963,"1"
"159",14425,"me","USCOTS15","Gender","MALE","Major","MATH","","","15","both","0",25723,"1",0,15,54,"2015-05-30 12:12:21",25.723,"1"
"160",14423,"lu723","USCOTS15","Gender","M","Major","MathStat","","","15","both","0",23552,"1",0,15,54,"2015-05-30 12:12:18",23.552,"1"
"161",14422,"BH","USCOTS15","Gender","F","Major","Math","","","15","both","0",25934,"1",0,15,54,"2015-05-30 12:12:08",25.934,"0"
