"","X","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"1",347,5126,"j776","hj190f14","gender","F","class","Sr","sleep","7",24,"shape",0,51116,1,0,24,54,"2014-09-03 11:34:15",51.116,0
"2",356,5118,"123e","hj190f14","Gender","M","Class","S","Sleep","6",24,"shape",0,54484,1,1,24,54,"2014-09-03 11:33:39",54.484,1
"3",361,5108,"123e","hj190f14","Gender","M","Class","S","Sleep","6",24,"shape",0,62403,1,1,24,54,"2014-09-03 11:32:33",62.403,1
"4",365,5099,"123s","hj190f14","gender","f","class","s","sleep","8",24,"shape",0,48580,1,1,24,54,"2014-09-03 11:18:14",48.58,0
"5",369,5095,"123s","hj190f14","gender","fm","class","fsjsr","sleep","8",24,"shape",0,42517,1,0,24,54,"2014-09-03 11:17:09",42.517,0
"6",18,32927,"86192","MA376C1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,48053,1,0,21,54,"2016-09-15 10:22:39",48.053,1
"7",19,32926,"x86175","MA376C1","Gender","M",NA,NA,NA,NA,21,"shape",0,40891,1,0,21,54,"2016-09-15 10:22:31",40.891,1
"8",20,32925,"x81518","MA376C1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,47339,1,0,21,54,"2016-09-15 10:22:29",47.339,1
"9",21,32924,"inst
x85892","MA376C1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,34862,1,1,21,54,"2016-09-15 10:22:15",34.862,1
"10",22,32923,"inst
x86317","MA376C1","Gender","F",NA,NA,NA,NA,21,"shape",0,35191,1,0,21,54,"2016-09-15 10:21:01",35.191,0
"11",24,32920,"x85821","MA376C1","GENDER","F",NA,NA,NA,NA,21,"diffColor",0,51561,1,3,21,54,"2016-09-15 10:20:10",51.561,0
"12",25,32918,"x86617","MA376C1","Gender","F",NA,NA,NA,NA,21,"shape",0,43910,1,3,21,54,"2016-09-15 10:20:03",43.91,0
"13",26,32917,"x85659","MA376C1","GENDER","M",NA,NA,NA,NA,21,"shape",0,56014,1,0,21,54,"2016-09-15 10:20:02",56.014,1
"14",27,32916,"x87006","MA376C1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,62722,1,0,21,54,"2016-09-15 10:19:56",62.722,1
"15",28,32915,"inst","MA376C1","Gender","M",NA,NA,NA,NA,21,"shape",0,34759,1,0,21,54,"2016-09-15 10:19:43",34.759,1
"16",29,32914,"x85267","MA376C1","Gender","Male",NA,NA,NA,NA,24,"diffColor",0,59826,1,2,24,54,"2016-09-15 10:19:05",59.826,1
"17",30,32912,"x86324","MA376C1","Gender","F",NA,NA,NA,NA,21,"shape",0,64356,1,0,21,54,"2016-09-15 10:18:47",64.356,0
"18",625,1791,"CharlieFoxtrot
R","msp2013","gender","M","Age",NA,NA,NA,21,"shape",0,52277,1,0,21,54,"2013-06-14 13:20:40",52.277,1
"19",632,1784,"TT","msp2013","gender","m","",NA,NA,NA,21,"diffColor",0,80738,1,0,21,54,"2013-06-14 13:18:08",80.738,1
"20",640,1778,"TY","msp2013","Gender","F","",NA,NA,NA,21,"diffColor",0,74952,1,15,21,54,"2013-06-14 13:17:42",74.952,0
"21",647,1769,"dr","msp2013","Gender","F","Age",NA,NA,NA,21,"diffColor",0,41166,1,0,21,54,"2013-06-14 13:17:23",41.166,0
"22",653,1763,"AH","msp2013","GENDER","F","",NA,NA,NA,21,"diffColor",0,88693,1,2,21,54,"2013-06-14 13:15:32",88.693,0
"23",656,1760,"sj","msp2013","Gender","m","",NA,NA,NA,21,"diffColor",0,72874,1,2,21,54,"2013-06-14 13:08:13",72.874,1
"24",663,1753,"TY","msp2013","Gender","F","",NA,NA,NA,21,"shape",0,93888,1,19,21,54,"2013-06-14 12:29:27",93.888,0
"25",665,1751,"AH","msp2013","GENDER","F","",NA,NA,NA,21,"shape",0,79302,1,0,21,54,"2013-06-14 12:29:13",79.302,0
"26",668,1748,"CharlieFoxtrot
R","msp2013","gender","M","Age",NA,NA,NA,21,"shape",0,55415,1,1,21,54,"2013-06-14 12:29:10",55.415,1
"27",670,1745,"TT","msp2013","gender","m","",NA,NA,NA,21,"shape",0,66989,1,0,21,54,"2013-06-14 12:28:58",66.989,1
"28",671,1746,"sj","msp2013","Gender","m","",NA,NA,NA,21,"shape",0,60881,1,1,21,54,"2013-06-14 12:28:58",60.881,1
"29",674,1741,"dr","msp2013","Gender","F","Age",NA,NA,NA,21,"shape",0,45431,1,0,21,54,"2013-06-14 12:28:53",45.431,0
"30",694,1705,"statcat","msp2013","gender","M","",NA,NA,NA,21,"shape",0,53308,1,1,21,54,"2013-06-14 12:21:47",53.308,1
"31",697,1693,"statcat","msp2013","gender","M","",NA,NA,NA,21,"shape",0,65364,1,0,21,54,"2013-06-14 12:20:46",65.364,1
"32",706,1659,"statcat","msp2013","gender","M","",NA,NA,NA,21,"shape",0,75081,1,1,21,54,"2013-06-14 12:18:26",75.081,1
"33",1,33015,"x87018","MA376I3","Gender","M",NA,NA,NA,NA,21,"diffColor",0,47975,1,0,21,54,"2016-09-16 10:28:43",47.975,1
"34",2,33014,"x87018","MA376I3","Gender","M",NA,NA,NA,NA,21,"shape",0,44551,1,0,21,54,"2016-09-16 10:27:51",44.551,1
"35",4,33009,"x86176","MA376I3","Gender","M",NA,NA,NA,NA,24,"diffColor",0,65131,1,2,24,54,"2016-09-16 10:27:03",65.131,1
"36",5,33008,"X85856","MA376I3","Male","",NA,NA,NA,NA,21,"diffColor",0,52762,1,0,21,54,"2016-09-16 10:27:02",52.762,1
"37",8,32999,"X85856","MA376I3","Male","",NA,NA,NA,NA,21,"shape",0,52070,1,0,21,54,"2016-09-16 10:25:57",52.07,1
"38",9,32998,"XXXXX","MA376I3","Gender","F",NA,NA,NA,NA,21,"diffColor",0,50002,1,1,21,54,"2016-09-16 10:25:56",50.002,0
"39",10,32996,"xxxxx","MA376I3","Gender","M",NA,NA,NA,NA,21,"diffColor",0,49031,1,2,21,54,"2016-09-16 10:25:39",49.031,1
"40",11,32992,"x86176","MA376I3","Gender","M",NA,NA,NA,NA,24,"shape",0,47362,1,0,24,54,"2016-09-16 10:25:22",47.362,1
"41",13,32986,"XXXXX","MA376I3","Gender","F",NA,NA,NA,NA,21,"shape",0,52121,1,0,21,54,"2016-09-16 10:24:40",52.121,0
"42",14,32987,"xxxxx","MA376I3","Gender","M",NA,NA,NA,NA,21,"shape",0,46966,1,2,21,54,"2016-09-16 10:24:40",46.966,1
"43",15,32979,"xxxxx","MA376I3","Gender","M",NA,NA,NA,NA,21,"diffColor",0,43218,1,0,21,54,"2016-09-16 09:06:29",43.218,1
"44",16,32978,"xxxxx","MA376I3","Gender","M",NA,NA,NA,NA,21,"shape",0,40688,1,1,21,54,"2016-09-16 09:05:23",40.688,1
"45",167,13845,"378108","MAT336S15","Gender","F",NA,NA,NA,NA,24,"diffColor",0,43972,1,0,24,54,"2015-04-29 15:29:22",43.972,0
"46",168,13844,"KUMNSTAY
dajiba","MAT336S15","Gender","M",NA,NA,NA,NA,24,"optionColor",0,47893,1,14,24,54,"2015-04-29 15:28:57",47.893,1
"47",169,13842,"111","MAT336S15","Gender","F",NA,NA,NA,NA,24,"both",0,29815,1,0,24,54,"2015-04-29 15:28:34",29.815,0
"48",170,13843,"378108","MAT336S15","Gender","F",NA,NA,NA,NA,24,"shape",0,34972,1,0,24,54,"2015-04-29 15:28:34",34.972,0
"49",171,13841,"gandu","MAT336S15","Gender","M",NA,NA,NA,NA,24,"shape",0,46198,1,2,24,54,"2015-04-29 15:28:07",46.198,1
"50",172,13840,"KUMNSTAY
dajiba","MAT336S15","Gender","M",NA,NA,NA,NA,24,"both",0,51659,1,14,24,54,"2015-04-29 15:28:03",51.659,1
"51",173,13839,"111","MAT336S15","Gender","F",NA,NA,NA,NA,24,"shape",0,43735,1,2,24,54,"2015-04-29 15:27:50",43.735,0
"52",174,13838,"378108","MAT336S15","Gender","F",NA,NA,NA,NA,24,"both",0,31798,1,0,24,54,"2015-04-29 15:27:36",31.798,0
"53",175,13837,"IAMGANDALF","MAT336S15","Gender","M",NA,NA,NA,NA,24,"both",0,38429,1,1,24,54,"2015-04-29 15:27:23",38.429,1
"54",176,13836,"gandu","MAT336S15","Gender","M",NA,NA,NA,NA,24,"optionColor",0,36931,1,0,24,54,"2015-04-29 15:27:14",36.931,1
"55",177,13835,"KUMNSTAY
dajiba","MAT336S15","Gender","M",NA,NA,NA,NA,24,"diffColor",0,68961,1,5,24,54,"2015-04-29 15:27:04",68.961,1
"56",178,13834,"q","MAT336S15","Gender","F",NA,NA,NA,NA,24,"diffColor",0,54847,1,1,24,54,"2015-04-29 15:26:56",54.847,0
"57",179,13833,"378108","MAT336S15","Gender","F",NA,NA,NA,NA,24,"optionColor",0,36044,1,2,24,54,"2015-04-29 15:26:48",36.044,0
"58",180,13832,"111","MAT336S15","Gender","F",NA,NA,NA,NA,24,"optionColor",0,33956,1,0,24,54,"2015-04-29 15:26:47",33.956,0
"59",181,13831,"TomBrady","MAT336S15","Gender","Male",NA,NA,NA,NA,24,"shape",0,35785,1,0,24,54,"2015-04-29 15:26:45",35.785,1
"60",182,13830,"IAMGANDALF","MAT336S15","Gender","M",NA,NA,NA,NA,24,"shape",0,36021,1,0,24,54,"2015-04-29 15:26:39",36.021,1
"61",183,13829,"gandu","MAT336S15","Gender","M",NA,NA,NA,NA,24,"diffColor",0,49997,1,3,24,54,"2015-04-29 15:26:31",49.997,1
"62",184,13828,"311252","MAT336S15","Gender","M",NA,NA,NA,NA,24,"optionColor",0,38679,1,1,24,54,"2015-04-29 15:26:08",38.679,1
"63",185,13827,"TomBrady","MAT336S15","Gender","Male",NA,NA,NA,NA,24,"shape",0,37938,1,0,24,54,"2015-04-29 15:26:06",37.938,1
"64",186,13826,"q","MAT336S15","Gender","F",NA,NA,NA,NA,24,"both",0,37061,1,0,24,54,"2015-04-29 15:25:55",37.061,0
"65",187,13825,"111","MAT336S15","Gender","F",NA,NA,NA,NA,24,"diffColor",0,58482,1,3,24,54,"2015-04-29 15:25:53",58.482,0
"66",188,13824,"IAMGANDALF","MAT336S15","Gender","M",NA,NA,NA,NA,24,"optionColor",0,35837,1,0,24,54,"2015-04-29 15:25:52",35.837,1
"67",189,13823,"KUMNSTAY
dajiba","MAT336S15","Gender","M",NA,NA,NA,NA,24,"shape",0,53942,1,1,24,54,"2015-04-29 15:25:41",53.942,1
"68",190,13822,"gandu","MAT336S15","Gender","M",NA,NA,NA,NA,24,"both",0,39138,1,0,24,54,"2015-04-29 15:25:26",39.138,1
"69",191,13821,"TomBrady","MAT336S15","Gender","Male",NA,NA,NA,NA,24,"shape",0,37790,1,1,24,54,"2015-04-29 15:25:23",37.79,1
"70",192,13820,"311252","MAT336S15","Gender","M",NA,NA,NA,NA,24,"both",0,35052,1,0,24,54,"2015-04-29 15:25:11",35.052,1
"71",193,13819,"q","MAT336S15","Gender","F",NA,NA,NA,NA,24,"optionColor",0,38296,1,1,24,54,"2015-04-29 15:25:00",38.296,0
"72",194,13818,"IAMGANDALF","MAT336S15","Gender","M",NA,NA,NA,NA,24,"diffColor",0,44247,1,1,24,54,"2015-04-29 15:24:51",44.247,1
"73",195,13817,"TomBrady","MAT336S15","Gender","Male",NA,NA,NA,NA,24,"shape",0,39934,1,1,24,54,"2015-04-29 15:24:28",39.934,1
"74",196,13816,"311252","MAT336S15","Gender","M",NA,NA,NA,NA,24,"diffColor",0,45196,1,0,24,54,"2015-04-29 15:24:22",45.196,1
"75",197,13815,"flowers","MAT336S15","Gender","F",NA,NA,NA,NA,24,"optionColor",0,29206,1,2,24,54,"2015-04-29 15:24:09",29.206,0
"76",198,13814,"q","MAT336S15","Gender","F",NA,NA,NA,NA,24,"shape",0,50477,1,1,24,54,"2015-04-29 15:24:03",50.477,0
