"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"625",1791,"CharlieFoxtrot
R","msp2013","gender","M","Age","28","","","21","shape","0",52277,"1",0,21,54,"2013-06-14 13:20:40",52.277,"1"
"632",1784,"TT","msp2013","gender","m","","","","","21","diffColor","0",80738,"1",0,21,54,"2013-06-14 13:18:08",80.738,"1"
"640",1778,"TY","msp2013","Gender","F","","","","","21","diffColor","0",74952,"1",15,21,54,"2013-06-14 13:17:42",74.952,"0"
"647",1769,"dr","msp2013","Gender","F","Age","40","","","21","diffColor","0",41166,"1",0,21,54,"2013-06-14 13:17:23",41.166,"0"
"653",1763,"AH","msp2013","GENDER","F","","","","","21","diffColor","0",88693,"1",2,21,54,"2013-06-14 13:15:32",88.693,"0"
"656",1760,"sj","msp2013","Gender","m","","","","","21","diffColor","0",72874,"1",2,21,54,"2013-06-14 13:08:13",72.874,"1"
"663",1753,"TY","msp2013","Gender","F","","","","","21","shape","0",93888,"1",19,21,54,"2013-06-14 12:29:27",93.888,"0"
"665",1751,"AH","msp2013","GENDER","F","","","","","21","shape","0",79302,"1",0,21,54,"2013-06-14 12:29:13",79.302,"0"
"668",1748,"CharlieFoxtrot
R","msp2013","gender","M","Age","28","","","21","shape","0",55415,"1",1,21,54,"2013-06-14 12:29:10",55.415,"1"
"670",1745,"TT","msp2013","gender","m","","","","","21","shape","0",66989,"1",0,21,54,"2013-06-14 12:28:58",66.989,"1"
"671",1746,"sj","msp2013","Gender","m","","","","","21","shape","0",60881,"1",1,21,54,"2013-06-14 12:28:58",60.881,"1"
"674",1741,"dr","msp2013","Gender","F","Age","40","","","21","shape","0",45431,"1",0,21,54,"2013-06-14 12:28:53",45.431,"0"
"694",1705,"statcat","msp2013","gender","M","","","","","21","shape","0",53308,"1",1,21,54,"2013-06-14 12:21:47",53.308,"1"
"697",1693,"statcat","msp2013","gender","M","","","","","21","shape","0",65364,"1",0,21,54,"2013-06-14 12:20:46",65.364,"1"
"706",1659,"statcat","msp2013","gender","M","","","","","21","shape","0",75081,"1",1,21,54,"2013-06-14 12:18:26",75.081,"1"
