"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"829",868,"jordan","mth32601","gender","m","attempt","2","","","24","diffColor","0",76850,"1",2,24,54,"2013-04-01 10:30:30",76.85,"1"
"830",867,"bmill678","mth32601","Gender","f","Attempt","2","","","24","diffColor","0",63295,"1",3,24,54,"2013-04-01 10:30:09",63.295,"0"
"832",865,"zachzaniboni","mth32601","gender","m","attempt","2","","","24","diffColor","0",57219,"1",0,24,54,"2013-04-01 10:30:01",57.219,"1"
"833",864,"242027","mth32601","gender","f","attempt
attempt","2","","","24","diffColor","0",51797,"1",1,24,54,"2013-04-01 10:29:45",51.797,"0"
"834",863,"jdunn","mth32601","gender","f","attempt","2","","","24","diffColor","0",67805,"1",1,24,54,"2013-04-01 10:29:37",67.805,"0"
"835",862,"patrick91","mth32601","gender","m","attempt","2","","","24","diffColor","0",65755,"1",0,24,54,"2013-04-01 10:29:35",65.755,"1"
"837",860,"pward","mth32601","Gender","f","Attempt","2","","","24","diffColor","0",56576,"1",1,24,54,"2013-04-01 10:29:19",56.576,"0"
"838",858,"alexgaertner","mth32601","gender","f","attempt","2","","","24","diffColor","0",51089,"1",0,24,54,"2013-04-01 10:29:16",51.089,"0"
"839",859,"raw9","mth32601","gender","m","attempt","2","","","24","diffColor","0",62605,"1",2,24,54,"2013-04-01 10:29:16",62.605,"1"
"840",857,"201967","mth32601","gender","f","attempt","2","","","24","diffColor","0",47829,"1",0,24,54,"2013-04-01 10:29:14",47.829,"0"
"841",854,"AgentBaggins
DerekJeter","mth32601","gender","m","attempt","2","","","24","diffColor","0",55380,"1",0,24,54,"2013-04-01 10:29:11",55.38,"1"
"842",855,"281621
mt9669","mth32601","Gender","m","Attempt","2","","","24","diffColor","0",55009,"1",1,24,54,"2013-04-01 10:29:11",55.009,"1"
"843",853,"999999999","mth32601","Gender","M","Attempt","2","","","24","diffColor","0",43805,"1",1,24,54,"2013-04-01 10:28:52",43.805,"1"
"845",851,"jordan","mth32601","gender","m","attempt","1","","","24","diffColor","0",100104,"1",9,24,54,"2013-04-01 10:27:57",100.104,"1"
"846",850,"patrick91","mth32601","gender","m","attempt","1","","","24","diffColor","0",101467,"1",1,24,54,"2013-04-01 10:27:55",101.467,"1"
"847",849,"281621
mt9669","mth32601","Gender","m","Attempt","1","","","24","diffColor","0",78712,"1",3,24,54,"2013-04-01 10:27:37",78.712,"1"
"848",847,"jdunn","mth32601","gender","f","attempt","1","","","24","diffColor","0",70577,"1",2,24,54,"2013-04-01 10:27:25",70.577,"0"
"849",848,"pward","mth32601","Gender","f","Attempt","1","","","24","diffColor","0",68078,"1",0,24,54,"2013-04-01 10:27:25",68.078,"0"
"850",845,"AgentBaggins
DerekJeter","mth32601","gender","m","attempt","1","","","24","diffColor","0",67030,"1",1,24,54,"2013-04-01 10:27:22",67.03,"1"
"851",846,"bmill678","mth32601","Gender","f","Attempt","1","","","24","diffColor","0",67109,"1",3,24,54,"2013-04-01 10:27:22",67.109,"0"
"853",842,"zachzaniboni","mth32601","gender","m","attempt","1","","","24","diffColor","0",64741,"1",1,24,54,"2013-04-01 10:27:20",64.741,"1"
"854",841,"raw9","mth32601","gender","m","attempt","1","","","24","diffColor","0",60628,"1",3,24,54,"2013-04-01 10:27:17",60.628,"1"
"856",838,"242027","mth32601","gender","f","attempt","1","","","24","diffColor","0",54961,"1",1,24,54,"2013-04-01 10:27:09",54.961,"0"
"857",837,"999999999","mth32601","Gender","M","Attempt","1","","","24","diffColor","0",54220,"1",2,24,54,"2013-04-01 10:27:06",54.22,"1"
"858",836,"alexgaertner","mth32601","gender","f","attempt","1","","","24","diffColor","0",51871,"1",0,24,54,"2013-04-01 10:27:05",51.871,"0"
"859",835,"201967","mth32601","gender","f","attempt","1","","","24","diffColor","0",49031,"1",0,24,54,"2013-04-01 10:26:57",49.031,"0"
