"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"862",809,"getmoney","psych3700","Gender","M","","","","","21","diffColor","0",50037,"1",1,21,54,"2013-03-13 10:57:27",50.037,"1"
"863",808,"getmoney","psych3700","Gender","M","","","","","21","shape","0",50617,"1",2,21,54,"2013-03-13 10:56:26",50.617,"1"
"864",807,"BunniesRCute","psych3700","Gender","F","","","","","21","diffColor","0",49917,"1",0,21,54,"2013-03-13 10:56:21",49.917,"0"
"865",806,"ksb","psych3700","Gender","F","","","","","21","diffColor","0",40908,"1",1,21,54,"2013-03-13 10:56:16",40.908,"0"
"866",805,"87925","psych3700","Gender","F","","","","","21","shape","0",44430,"1",0,21,54,"2013-03-13 10:56:02",44.43,"0"
"867",804,"021","psych3700","Gender","F","","","","","21","diffColor","0",50330,"1",0,21,54,"2013-03-13 10:56:00",50.33,"0"
"868",803,"Alaina","psych3700","Gender","F","","","","","21","diffColor","0",44241,"1",2,21,54,"2013-03-13 10:55:59",44.241,"0"
"869",802,"231231","psych3700","Gender","M","","","","","21","shape","0",43628,"1",0,21,54,"2013-03-13 10:55:58",43.628,"1"
"871",799,"unicorns","psych3700","Gender","F","","","","","21","diffColor","0",43887,"1",0,21,54,"2013-03-13 10:55:50",43.887,"0"
"873",798,"089","psych3700","gender","m","","","","","21","diffColor","0",34709,"1",0,21,54,"2013-03-13 10:55:39",34.709,"1"
"874",797,"getmoney","psych3700","Gender","M","","","","","21","shape","0",60467,"1",0,21,54,"2013-03-13 10:55:22",60.467,"1"
"875",796,"ksb","psych3700","Gender","F","","","","","21","shape","0",44438,"1",2,21,54,"2013-03-13 10:55:18",44.438,"0"
"876",795,"BunniesRCute","psych3700","Gender","F","","","","","21","shape","0",64227,"1",4,21,54,"2013-03-13 10:55:16",64.227,"0"
"877",794,"87925","psych3700","Gender","F","","","","","21","diffColor","0",55258,"1",0,21,54,"2013-03-13 10:55:08",55.258,"0"
"878",793,"231231","psych3700","Gender","M","","","","","21","diffColor","0",45227,"1",1,21,54,"2013-03-13 10:55:06",45.227,"1"
"880",790,"Alaina","psych3700","Gender","F","","","","","21","shape","0",42974,"1",0,21,54,"2013-03-13 10:55:01",42.974,"0"
"881",791,"021","psych3700","Gender","F","","","","","21","shape","0",52291,"1",2,21,54,"2013-03-13 10:55:01",52.291,"0"
"882",789,"unicorns","psych3700","Gender","F","","","","","21","shape","0",40227,"1",3,21,54,"2013-03-13 10:54:54",40.227,"0"
"884",787,"089","psych3700","gender","m","","","","","21","shape","0",36378,"1",0,21,54,"2013-03-13 10:54:51",36.378,"1"
