"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"887",591,"Kenmark","stats2","Gender?","Female","Day or Night?","Night","Using A Mouse?","No","24","shape","0",46609,"1",0,24,54,"2012-12-05 21:06:53",46.609,"0"
"889",586,"Kenmark","stats2","Gender?","Male","Day or Night?","Day","Using A Mouse?","Yes","24","shape","0",41978,"1",0,24,54,"2012-12-04 11:26:07",41.978,"1"
"890",585,"Kenmark","stats2","Gender?","Male","Day or Night?","Day","Using A Mouse?","Yes","24","shape","0",44736,"1",0,24,54,"2012-12-04 11:25:15",44.736,"1"
"891",584,"Kenmark","stats2","Gender?","Male","Day or Night?","Day","Using A Mouse?","Yes","24","shape","0",46528,"1",0,24,54,"2012-12-04 10:05:44",46.528,"1"
"892",583,"Kenmark","stats2","Gender?","Male","Day or Night?","Day","Using A Mouse?","Yes","24","shape","0",50648,"1",2,24,54,"2012-12-04 10:04:52",50.648,"1"
"893",582,"Kenmark","stats2","Gender?","m","Day or Night?","night","Using A Mouse?","yes","24","shape","0",41238,"1",0,24,54,"2012-12-04 00:28:08",41.238,"1"
"894",581,"Kenmark","stats2","Gender?","m","Day or Night?","night","Using A Mouse?","yes","24","shape","0",52246,"1",1,24,54,"2012-12-04 00:27:21",52.246,"1"
"895",580,"Kenmark","stats2","Gender?","Male","Day or Night?","Night","Using A Mouse?","Yes","24","shape","0",64350,"1",1,24,54,"2012-12-04 00:01:32",64.35,"1"
"896",579,"Kenmark","stats2","Gender?","Female","Day or Night?","Night","Using A Mouse?","No","24","shape","0",60978,"1",0,24,54,"2012-12-03 23:27:26",60.978,"0"
"897",578,"Kenmark","stats2","Gender?","Female","Day or Night?","Night","Using A Mouse?","No","24","shape","0",73477,"1",1,24,54,"2012-12-03 23:26:20",73.477,"0"
"898",577,"Kenmark","stats2","Gender?","male","Day or Night?","night 10:00","Using A Mouse?","no","24","shape","0",58050,"1",2,24,54,"2012-12-03 21:59:26",58.05,"1"
"899",576,"Kenmark","stats2","Gender?","Male","Day or Night?","Night","Using A Mouse?","Yeah","24","shape","0",44608,"1",1,24,54,"2012-12-03 21:31:59",44.608,"1"
"900",575,"Kenmark","stats2","Gender?","Female","Day or Night?","Night","Using A Mouse?","No","24","shape","0",54391,"1",2,24,54,"2012-12-03 20:03:58",54.391,"0"
"901",574,"Kenmark","stats2","Gender?","Male","Day or Night?","Night","Using A Mouse?","Yes","24","shape","0",36853,"1",0,24,54,"2012-12-03 19:38:20",36.853,"1"
"902",572,"Kenmark","stats2","Gender?","female","Day or Night?","day","Using A Mouse?","yes","24","shape","0",40929,"1",1,24,54,"2012-12-03 18:59:38",40.929,"0"
"903",571,"Kenmark","stats2","Gender?","male","Day or Night?","night","Using A Mouse?","yes","24","shape","0",49581,"1",1,24,54,"2012-12-03 18:58:45",49.581,"1"
