,X,id,studentID,groupID,timeUsed,TimeUsedSec,gender
1,347,5126,j776,hj190f14,51116,51.116,0
2,356,5118,123e,hj190f14,54484,54.484,1
3,361,5108,123e,hj190f14,62403,62.403,1
4,365,5099,123s,hj190f14,48580,48.58,0
5,369,5095,123s,hj190f14,42517,42.517,0
6,18,32927,86192,MA376C1,48053,48.053,1
7,19,32926,x86175,MA376C1,40891,40.891,1
8,20,32925,x81518,MA376C1,47339,47.339,1
9,21,32924,"instx85892",MA376C1,34862,34.862,1
10,22,32923,"instx86317",MA376C1,35191,35.191,0
11,24,32920,x85821,MA376C1,51561,51.561,0
12,25,32918,x86617,MA376C1,43910,43.91,0
13,26,32917,x85659,MA376C1,56014,56.014,1
14,27,32916,x87006,MA376C1,62722,62.722,1
15,28,32915,inst,MA376C1,34759,34.759,1
16,29,32914,x85267,MA376C1,59826,59.826,1
17,30,32912,x86324,MA376C1,64356,64.356,0
18,625,1791,"CharlieFoxtrotR",msp2013,52277,52.277,1
19,632,1784,TT,msp2013,80738,80.738,1
20,640,1778,TY,msp2013,74952,74.952,0
21,647,1769,dr,msp2013,41166,41.166,0
22,653,1763,AH,msp2013,88693,88.693,0
23,656,1760,sj,msp2013,72874,72.874,1
24,663,1753,TY,msp2013,93888,93.888,0
25,665,1751,AH,msp2013,79302,79.302,0
26,668,1748,"CharlieFoxtrotR",msp2013,55415,55.415,1
27,670,1745,TT,msp2013,66989,66.989,1
28,671,1746,sj,msp2013,60881,60.881,1
29,674,1741,dr,msp2013,45431,45.431,0
30,694,1705,statcat,msp2013,53308,53.308,1
31,697,1693,statcat,msp2013,65364,65.364,1
32,706,1659,statcat,msp2013,75081,75.081,1
33,1,33015,x87018,MA376I3,47975,47.975,1
34,2,33014,x87018,MA376I3,44551,44.551,1
35,4,33009,x86176,MA376I3,65131,65.131,1
36,5,33008,X85856,MA376I3,52762,52.762,1
37,8,32999,X85856,MA376I3,52070,52.07,1
38,9,32998,XXXXX,MA376I3,50002,50.002,0
39,10,32996,xxxxx,MA376I3,49031,49.031,1
40,11,32992,x86176,MA376I3,47362,47.362,1
41,13,32986,XXXXX,MA376I3,52121,52.121,0
42,14,32987,xxxxx,MA376I3,46966,46.966,1
43,15,32979,xxxxx,MA376I3,43218,43.218,1
44,16,32978,xxxxx,MA376I3,40688,40.688,1
45,167,13845,378108,MAT336S15,43972,43.972,0
46,168,13844,"KUMNSTAYdajiba",MAT336S15,47893,47.893,1
47,169,13842,111,MAT336S15,29815,29.815,0
48,170,13843,378108,MAT336S15,34972,34.972,0
49,171,13841,gandu,MAT336S15,46198,46.198,1
50,172,13840,"KUMNSTAYdajiba",MAT336S15,51659,51.659,1
51,173,13839,111,MAT336S15,43735,43.735,0
52,174,13838,378108,MAT336S15,31798,31.798,0
53,175,13837,IAMGANDALF,MAT336S15,38429,38.429,1
54,176,13836,gandu,MAT336S15,36931,36.931,1
55,177,13835,"KUMNSTAYdajiba",MAT336S15,68961,68.961,1
56,178,13834,q,MAT336S15,54847,54.847,0
57,179,13833,378108,MAT336S15,36044,36.044,0
58,180,13832,111,MAT336S15,33956,33.956,0
59,181,13831,TomBrady,MAT336S15,35785,35.785,1
60,182,13830,IAMGANDALF,MAT336S15,36021,36.021,1
61,183,13829,gandu,MAT336S15,49997,49.997,1
62,184,13828,311252,MAT336S15,38679,38.679,1
63,185,13827,TomBrady,MAT336S15,37938,37.938,1
64,186,13826,q,MAT336S15,37061,37.061,0
65,187,13825,111,MAT336S15,58482,58.482,0
66,188,13824,IAMGANDALF,MAT336S15,35837,35.837,1
67,189,13823,"KUMNSTAYdajiba",MAT336S15,53942,53.942,1
68,190,13822,gandu,MAT336S15,39138,39.138,1
69,191,13821,TomBrady,MAT336S15,37790,37.79,1
70,192,13820,311252,MAT336S15,35052,35.052,1
71,193,13819,q,MAT336S15,38296,38.296,0
72,194,13818,IAMGANDALF,MAT336S15,44247,44.247,1
73,195,13817,TomBrady,MAT336S15,39934,39.934,1
74,196,13816,311252,MAT336S15,45196,45.196,1
75,197,13815,flowers,MAT336S15,29206,29.206,0
76,198,13814,q,MAT336S15,50477,50.477,0
77,199,13813,flowers,MAT336S15,38642,38.642,0
78,200,13812,311252,MAT336S15,39363,39.363,1
79,201,13811,flowers,MAT336S15,34972,34.972,0
80,202,13810,flowers,MAT336S15,34919,34.919,0
81,32,32910,x86145,MA376B1,46716,46.716,1
82,33,32909,x86145,MA376B1,52439,52.439,1
83,34,32908,x94299,MA376B1,55276,55.276,0
84,35,32907,x94299,MA376B1,47336,47.336,0
85,36,32906,x86145,MA376B1,53019,53.019,1
86,37,32905,x86658,MA376B1,56753,56.753,0
87,38,32904,x86145,MA376B1,51381,51.381,1
88,39,32903,x86263,MA376B1,87625,87.625,1
89,40,32902,x85831,MA376B1,79997,79.997,1
90,41,32901,x94299,MA376B1,49265,49.265,0
91,42,32900,84758,MA376B1,64240,64.24,1
92,43,32899,x86667,MA376B1,48791,48.791,0
93,44,32898,x86145,MA376B1,63027,63.027,1
94,45,32897,X7589,MA376B1,65831,65.831,1
95,46,32896,x85988,MA376B1,53265,53.265,1
96,47,32894,x86658,MA376B1,56920,56.92,1
97,48,32895,x86805,MA376B1,57237,57.237,1
98,50,32893,x86357,MA376B1,56832,56.832,1
99,51,32890,86151,MA376B1,45048,45.048,0
100,52,32891,inst,MA376B1,45867,45.867,1
101,53,32889,x86158,MA376B1,41561,41.561,0
102,54,32888,x86067,MA376B1,39619,39.619,1
103,408,5003,2014220,MATH22015,23705,23.705,1
104,409,5000,98,MATH22015,29542,29.542,1
105,410,4998,98,MATH22015,31245,31.245,1
106,411,4996,123456789,MATH22015,36229,36.229,0
107,412,4995,123456789,MATH22015,21646,21.646,0
108,413,4994,5230053,MATH22015,20657,20.657,1
109,414,4992,5025,MATH22015,29102,29.102,1
110,415,4993,765378,MATH22015,32117,32.117,0
111,416,4989,17,MATH22015,27249,27.249,0
112,417,4990,45687,MATH22015,30276,30.276,0
